epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0825,1.22643,2.1057,0.0321,0.69977,0.69168,0.7663,0.42331,1.39556,1.27612,0.05517,0.000331532,0.000331532,0.0671784
2,48.5496,1.25216,1.42763,0.03334,0.79806,0.8357,0.90298,0.54947,1.32858,0.73247,0.05424,0.000658283,0.000658283,0.0341718
3,68.3796,1.23031,1.30535,0.03237,0.84729,0.86291,0.92929,0.595,1.18953,0.67896,0.04597,0.000978434,0.000978434,0.00115861
4,87.3727,1.21323,1.22244,0.03209,0.86795,0.85185,0.92518,0.5836,1.22903,0.60481,0.04969,0.0009703,0.0009703,0.0009703
5,106.615,1.20083,1.17408,0.0319,0.87608,0.88677,0.94462,0.64054,1.14835,0.58741,0.04507,0.0009604,0.0009604,0.0009604
6,125.71,1.16997,1.15467,0.03087,0.8699,0.84837,0.92874,0.57502,1.36486,0.65967,0.05568,0.0009505,0.0009505,0.0009505
7,144.83,1.16087,1.07716,0.03051,0.88688,0.90912,0.95939,0.66133,1.06368,0.57757,0.04174,0.0009406,0.0009406,0.0009406
8,163.666,1.17043,1.06385,0.03091,0.91932,0.90163,0.97008,0.69069,1.04398,0.4552,0.04004,0.0009307,0.0009307,0.0009307
9,182.459,1.14246,1.06997,0.03013,0.92403,0.89609,0.96459,0.64981,1.13813,0.4993,0.0451,0.0009208,0.0009208,0.0009208
10,201.303,1.15337,1.04754,0.03052,0.94395,0.91905,0.97961,0.72853,0.94906,0.39157,0.03623,0.0009109,0.0009109,0.0009109
11,219.852,1.13304,0.99209,0.02981,0.89526,0.94451,0.97315,0.67895,1.12767,0.47597,0.04502,0.000901,0.000901,0.000901
12,239.044,1.12818,0.98253,0.02947,0.95188,0.96044,0.98589,0.73838,0.94874,0.36963,0.03625,0.0008911,0.0008911,0.0008911
13,257.858,1.13754,0.95411,0.02948,0.95772,0.8961,0.97834,0.71183,1.00581,0.41931,0.03847,0.0008812,0.0008812,0.0008812
14,276.813,1.12396,0.961,0.02956,0.9362,0.9427,0.97886,0.69495,1.07109,0.40443,0.04238,0.0008713,0.0008713,0.0008713
15,296.158,1.09653,0.94989,0.02894,0.9392,0.94816,0.9819,0.75091,0.92684,0.36689,0.03542,0.0008614,0.0008614,0.0008614
16,315.226,1.09241,0.91204,0.02867,0.92901,0.96414,0.98415,0.6984,1.10498,0.3911,0.04426,0.0008515,0.0008515,0.0008515
17,334.077,1.10615,0.89726,0.02884,0.9559,0.94638,0.98708,0.70049,1.04661,0.38104,0.0402,0.0008416,0.0008416,0.0008416
18,352.691,1.11381,0.91584,0.02914,0.95334,0.97559,0.99029,0.74562,0.94144,0.32061,0.03603,0.0008317,0.0008317,0.0008317
19,372.311,1.0702,0.87017,0.0279,0.95017,0.93645,0.9853,0.75263,0.88753,0.37533,0.03369,0.0008218,0.0008218,0.0008218
20,392.139,1.085,0.9018,0.02829,0.94301,0.9618,0.98442,0.75251,0.9144,0.3452,0.03484,0.0008119,0.0008119,0.0008119
21,411.383,1.0795,0.87231,0.02794,0.95334,0.96589,0.9908,0.78561,0.84277,0.30888,0.03122,0.000802,0.000802,0.000802
22,430.859,1.08896,0.90387,0.02818,0.95651,0.96011,0.98839,0.73726,0.94147,0.33928,0.03554,0.0007921,0.0007921,0.0007921
23,450.328,1.06634,0.86556,0.0277,0.95228,0.95295,0.98784,0.76401,0.86715,0.33194,0.03278,0.0007822,0.0007822,0.0007822
24,469.733,1.06276,0.85532,0.02762,0.96137,0.96589,0.99005,0.74996,0.94981,0.34025,0.03598,0.0007723,0.0007723,0.0007723
25,489.011,1.04594,0.84683,0.02707,0.96731,0.96875,0.99091,0.77921,0.85278,0.30942,0.03192,0.0007624,0.0007624,0.0007624
26,508.484,1.0514,0.83311,0.02715,0.96764,0.97135,0.99205,0.79338,0.80969,0.27533,0.03,0.0007525,0.0007525,0.0007525
27,528.468,1.05244,0.86391,0.02739,0.96199,0.96999,0.98989,0.70906,1.07057,0.34336,0.04218,0.0007426,0.0007426,0.0007426
28,547.252,1.05908,0.83744,0.02774,0.96635,0.96453,0.9899,0.78281,0.81601,0.29717,0.03046,0.0007327,0.0007327,0.0007327
29,567.156,1.04795,0.83565,0.02722,0.95711,0.9809,0.99061,0.77155,0.90448,0.31124,0.03412,0.0007228,0.0007228,0.0007228
