epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,116.939,1.4365,9.03016,0.73651,1.03089,0.03543,16.5131,0.92323,0.95336,0.97227,0.62456,0.12765,0.12272,0.03579,0.00585,1.3502,6.48502,0.72373,0.43253,0.04778,0,0.00997642,0.00332547,0.00997642,0.00332547,0.00997642,0.00332547,0.00997642,0.00332547
2,211.829,1.31033,6.98442,0.59724,0.78956,0.03143,9.60839,0.92216,0.95361,0.97212,0.66535,0.33044,0.32051,0.1459,0.02432,1.15115,5.6539,0.65379,0.4203,0.03949,0,0.0199715,0.00665718,0.0199715,0.00665718,0.0199715,0.00665718,0.0199715,0.00665718
3,297.194,1.32986,6.50428,0.51914,0.83062,0.03212,8.87578,0.88272,0.93717,0.957,0.56801,0.37067,0.32883,0.18571,0.03114,1.47886,5.38032,0.58249,0.55317,0.05381,0,0.0299471,0.00998238,0.0299471,0.00998238,0.0299471,0.00998238,0.0299471,0.00998238
4,379.045,1.40257,6.43143,0.47358,0.8941,0.03456,8.82856,0.89458,0.91309,0.94538,0.60057,0.45775,0.38764,0.2745,0.05048,1.33042,5.25094,0.54019,0.59023,0.04697,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,461.003,1.37223,6.03939,0.44253,0.91212,0.03354,8.36974,0.90847,0.89607,0.93719,0.52025,0.54159,0.49256,0.36019,0.06972,1.60349,4.89102,0.50817,0.61259,0.05982,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,543.929,1.34842,5.88138,0.41662,0.88542,0.03286,8.04682,0.91267,0.9219,0.96456,0.63018,0.62049,0.55779,0.45648,0.10308,1.2576,4.55862,0.49926,0.48735,0.04406,0,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,627.565,1.34274,5.68909,0.40236,0.87678,0.03266,7.81009,0.91886,0.91309,0.95695,0.59879,0.60201,0.59131,0.47581,0.11583,1.38042,4.44604,0.47669,0.49143,0.04904,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,710.354,1.31696,5.46754,0.38778,0.84923,0.03203,7.45385,0.92682,0.93703,0.96412,0.59572,0.65195,0.60423,0.51249,0.12711,1.37228,4.38183,0.46982,0.48236,0.04933,0,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,790.784,1.32362,5.40013,0.37729,0.8353,0.03189,7.32122,0.92023,0.93541,0.96968,0.59579,0.69995,0.62738,0.58459,0.15345,1.42361,4.17437,0.45796,0.4822,0.05051,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,871.294,1.29298,5.20334,0.37037,0.81029,0.03105,7.1368,0.928,0.95126,0.97757,0.60366,0.72111,0.68628,0.60601,0.1726,1.40299,3.90624,0.4352,0.43851,0.04917,0,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
